Login_Per_Bulan,Durasi_Sesi_Menit,Fitur_AI_Dipakai,Jumlah_Komplain,Status_Langganan
17,26.0,6,1,Bertahan
12,33.9,6,2,Berhenti
21,29.6,15,0,Upgrade
18,58.1,5,1,Bertahan
17,23.6,1,0,Berhenti
19,71.7,10,2,Bertahan
29,60.0,7,2,Bertahan
7,45.4,7,0,Bertahan
18,45.0,8,4,Bertahan
8,33.9,9,0,Bertahan
18,50.4,7,0,Bertahan
8,66.8,12,2,Bertahan
12,30.9,11,2,Bertahan
12,14.3,8,1,Bertahan
21,59.1,7,2,Bertahan
21,51.5,7,1,Bertahan
6,22.6,8,1,Berhenti
15,30.3,9,0,Bertahan
10,27.8,12,0,Bertahan
6,30.5,5,0,Bertahan
13,38.5,7,1,Bertahan
12,39.7,6,1,Bertahan
30,32.0,6,1,Bertahan
18,29.8,2,2,Berhenti
5,40.4,6,3,Berhenti
11,48.4,7,0,Bertahan
22,38.7,4,0,Bertahan
29,68.2,2,1,Bertahan
3,55.2,4,0,Bertahan
1,13.2,5,1,Berhenti
28,55.5,2,1,Bertahan
17,57.1,9,0,Upgrade
8,36.3,10,0,Bertahan
18,15.1,6,1,Bertahan
1,45.2,9,0,Bertahan
15,44.8,10,1,Bertahan
17,22.6,7,0,Bertahan
21,16.0,7,1,Bertahan
7,43.2,8,2,Berhenti
15,40.3,5,1,Bertahan
8,36.7,6,0,Bertahan
16,43.3,5,1,Bertahan
8,22.9,7,0,Bertahan
12,36.3,10,1,Bertahan
8,55.7,6,0,Bertahan
19,38.0,7,1,Bertahan
21,11.6,8,1,Bertahan
13,35.5,7,0,Bertahan
15,23.6,5,3,Berhenti
4,50.3,8,2,Berhenti
12,51.4,8,1,Bertahan
14,11.8,9,1,Bertahan
30,60.2,6,0,Upgrade
7,22.8,2,3,Berhenti
25,76.2,8,1,Upgrade
21,44.0,3,0,Upgrade
16,20.1,8,0,Bertahan
27,22.2,7,1,Bertahan
17,52.0,7,4,Bertahan
17,37.2,12,1,Bertahan
14,43.1,5,2,Berhenti
23,77.3,5,0,Bertahan
22,31.0,6,0,Bertahan
10,46.2,17,1,Bertahan
5,73.4,9,1,Bertahan
13,50.4,6,0,Bertahan
9,12.9,8,1,Berhenti
14,55.1,11,1,Bertahan
23,21.7,4,1,Bertahan
11,73.1,7,2,Bertahan
14,28.5,10,0,Bertahan
15,104.4,12,0,Upgrade
20,74.3,7,0,Bertahan
1,29.1,6,1,Berhenti
10,45.4,10,0,Bertahan
16,60.1,4,1,Bertahan
23,60.7,7,0,Upgrade
11,53.8,10,1,Bertahan
1,70.0,5,0,Bertahan
19,42.5,10,1,Bertahan
10,37.7,4,1,Bertahan
6,38.1,7,1,Berhenti
10,62.2,10,0,Bertahan
13,52.3,12,1,Bertahan
10,50.8,13,1,Bertahan
1,60.9,6,0,Bertahan
21,5.0,8,0,Bertahan
23,51.2,8,2,Bertahan
19,49.4,11,3,Bertahan
7,78.4,9,0,Bertahan
13,14.4,13,0,Bertahan
14,76.1,9,1,Upgrade
19,46.5,6,0,Upgrade
19,54.8,11,0,Upgrade
9,78.5,10,0,Bertahan
15,56.2,3,1,Bertahan
18,53.0,12,0,Upgrade
25,49.8,9,0,Upgrade
19,35.3,9,2,Bertahan
20,44.4,4,0,Bertahan
15,30.7,11,0,Bertahan
24,44.1,9,0,Upgrade
17,5.0,10,3,Berhenti
8,53.6,8,1,Bertahan
24,42.6,11,1,Upgrade
19,38.3,6,0,Bertahan
11,49.4,8,0,Bertahan
11,16.3,6,0,Bertahan
17,83.6,9,2,Bertahan
18,42.9,7,2,Bertahan
16,42.1,6,0,Bertahan
17,25.7,5,1,Bertahan
26,45.5,6,0,Upgrade
22,72.7,4,1,Bertahan
16,65.7,7,1,Bertahan
21,62.1,11,1,Upgrade
7,55.9,6,2,Berhenti
17,37.8,6,0,Bertahan
27,16.0,12,1,Upgrade
13,41.0,3,2,Berhenti
9,40.3,8,1,Berhenti
10,66.0,8,0,Bertahan
7,51.2,7,1,Bertahan
9,77.2,7,0,Bertahan
12,68.9,7,2,Bertahan
5,35.9,13,0,Bertahan
15,9.1,11,1,Bertahan
21,72.7,11,0,Upgrade
8,72.2,4,1,Bertahan
25,17.7,7,3,Bertahan
18,75.2,9,1,Upgrade
22,52.6,10,0,Upgrade
10,48.2,5,0,Bertahan
20,77.3,10,1,Bertahan
7,71.9,10,0,Upgrade
21,58.0,11,0,Upgrade
16,54.5,10,2,Bertahan
18,57.3,3,2,Berhenti
6,37.0,4,2,Berhenti
8,43.9,1,0,Bertahan
19,27.0,8,0,Bertahan
8,38.3,17,2,Bertahan
18,37.7,5,0,Bertahan
5,32.3,7,1,Berhenti
20,47.7,6,1,Bertahan
6,38.5,8,0,Bertahan
18,55.0,9,1,Upgrade
19,12.6,7,2,Bertahan
10,42.7,8,0,Bertahan
19,47.6,10,4,Berhenti
16,38.8,7,0,Bertahan
11,41.6,12,1,Bertahan
7,13.3,9,0,Bertahan
1,52.1,8,0,Bertahan
17,58.0,9,1,Bertahan
4,54.9,4,1,Berhenti
15,65.8,9,0,Bertahan
13,49.0,6,1,Bertahan
19,54.6,9,1,Bertahan
12,48.1,10,1,Berhenti
12,58.8,11,3,Berhenti
20,13.5,7,0,Bertahan
17,27.1,9,0,Upgrade
17,76.7,4,5,Berhenti
18,5.0,3,0,Berhenti
4,42.2,8,2,Berhenti
20,68.4,9,1,Upgrade
19,43.1,8,1,Bertahan
7,36.9,10,2,Bertahan
13,47.6,7,3,Berhenti
14,37.9,4,2,Bertahan
14,45.6,7,2,Berhenti
17,31.3,10,0,Bertahan
25,67.2,10,0,Upgrade
22,73.5,8,2,Upgrade
5,42.3,8,1,Bertahan
19,17.3,7,1,Bertahan
24,34.5,6,1,Bertahan
17,41.3,9,0,Bertahan
22,55.1,15,4,Bertahan
29,24.8,10,0,Upgrade
22,29.6,11,0,Upgrade
16,55.2,8,0,Bertahan
22,63.8,5,2,Bertahan
16,32.6,7,1,Bertahan
15,18.3,8,1,Bertahan
12,110.7,8,0,Upgrade
25,60.7,11,0,Bertahan
9,39.7,4,2,Berhenti
25,62.4,8,2,Bertahan
18,42.5,9,0,Upgrade
5,62.3,5,0,Bertahan
17,48.2,8,0,Bertahan
1,46.8,8,0,Bertahan
19,42.7,7,2,Bertahan
21,16.1,9,0,Bertahan
10,83.8,8,2,Bertahan
15,26.2,11,1,Bertahan
28,17.8,4,1,Bertahan
11,40.7,9,1,Bertahan
7,25.8,8,0,Bertahan
25,44.0,4,1,Bertahan
28,58.8,10,2,Upgrade
15,64.9,5,1,Bertahan
22,61.3,7,0,Bertahan
24,38.9,10,1,Bertahan
9,46.0,6,2,Berhenti
11,53.2,4,1,Bertahan
23,9.8,6,0,Bertahan
26,56.4,11,0,Upgrade
18,15.9,11,0,Bertahan
8,85.8,11,1,Bertahan
28,36.9,9,1,Bertahan
11,41.3,8,1,Bertahan
12,29.6,10,0,Bertahan
17,32.4,6,0,Bertahan
25,90.5,5,2,Bertahan
20,63.8,11,0,Upgrade
17,14.0,8,2,Bertahan
18,75.1,8,0,Bertahan
15,68.9,8,0,Upgrade
18,39.4,9,0,Bertahan
1,51.1,7,1,Bertahan
12,44.7,4,0,Bertahan
16,84.5,7,0,Upgrade
6,29.1,9,0,Bertahan
17,47.9,5,2,Bertahan
13,36.4,9,2,Berhenti
27,16.3,6,2,Bertahan
26,88.8,12,0,Upgrade
11,21.4,5,1,Berhenti
13,49.4,9,0,Bertahan
14,10.2,2,0,Bertahan
11,37.0,11,0,Upgrade
16,53.4,8,2,Bertahan
9,28.5,10,0,Bertahan
7,56.7,11,0,Bertahan
19,39.6,8,3,Bertahan
19,68.2,11,3,Bertahan
9,72.2,9,1,Bertahan
21,33.3,8,0,Bertahan
10,46.5,11,1,Bertahan
16,48.7,7,2,Bertahan
20,57.4,8,1,Bertahan
14,45.3,8,0,Bertahan
18,48.8,14,0,Upgrade
11,40.1,7,2,Bertahan
13,47.3,8,1,Bertahan
13,71.0,7,1,Bertahan
9,57.9,10,1,Bertahan
13,59.0,8,2,Bertahan
4,59.5,5,1,Bertahan
11,41.9,4,1,Bertahan
13,51.4,4,0,Bertahan
13,23.3,11,1,Bertahan
13,70.4,8,1,Bertahan
14,5.0,7,1,Bertahan
18,43.3,6,0,Upgrade
21,67.8,4,0,Bertahan
10,17.7,4,2,Berhenti
6,53.0,9,2,Bertahan
7,31.4,10,0,Bertahan
11,37.6,7,2,Berhenti
12,63.9,9,1,Upgrade
9,49.0,12,0,Bertahan
5,5.0,8,0,Berhenti
11,25.5,12,2,Berhenti
16,64.5,14,1,Upgrade
19,54.0,9,0,Upgrade
11,80.0,8,0,Upgrade
12,78.7,5,1,Bertahan
8,38.2,6,1,Bertahan
14,95.1,7,1,Bertahan
9,45.5,10,2,Bertahan
19,25.7,5,0,Berhenti
2,32.3,6,2,Berhenti
12,5.0,10,1,Bertahan
17,77.1,6,0,Bertahan
16,76.9,6,1,Bertahan
30,24.7,2,0,Bertahan
17,40.4,8,1,Bertahan
7,46.9,8,1,Bertahan
14,25.8,8,2,Bertahan
2,9.9,11,0,Berhenti
14,40.8,8,1,Bertahan
9,38.6,7,2,Berhenti
21,37.2,6,0,Bertahan
11,49.5,7,0,Bertahan
14,73.6,11,0,Upgrade
10,38.9,9,1,Bertahan
27,48.4,7,0,Bertahan
12,59.5,4,3,Berhenti
27,56.1,6,0,Upgrade
20,32.7,15,1,Bertahan
18,46.9,15,2,Bertahan
17,56.0,5,2,Berhenti
17,22.4,12,1,Bertahan
1,70.3,11,0,Bertahan
13,73.6,7,0,Bertahan
20,30.5,8,1,Bertahan
14,48.9,6,1,Bertahan
5,57.8,11,0,Bertahan
14,34.1,6,3,Berhenti
26,54.6,10,0,Upgrade
23,48.3,8,4,Berhenti
14,15.6,8,3,Bertahan
21,54.2,10,1,Bertahan
12,23.0,11,2,Bertahan
3,63.8,9,2,Berhenti
8,31.6,8,2,Berhenti
25,41.8,8,3,Bertahan
13,72.4,8,1,Bertahan
13,54.9,11,0,Upgrade
12,23.4,6,2,Berhenti
28,24.7,11,1,Bertahan
26,33.0,3,1,Bertahan
30,52.9,17,1,Upgrade
13,52.2,9,1,Bertahan
17,28.1,13,1,Bertahan
4,21.7,8,0,Berhenti
25,50.6,7,1,Bertahan
6,41.4,4,1,Bertahan
16,88.1,4,2,Bertahan
7,45.7,11,1,Bertahan
10,81.3,11,1,Bertahan
9,21.6,6,0,Bertahan
10,13.5,7,2,Berhenti
11,22.6,9,0,Bertahan
11,68.8,5,1,Bertahan
20,80.1,10,1,Upgrade
7,29.4,6,0,Berhenti
16,35.8,5,1,Bertahan
23,21.6,8,0,Bertahan
11,8.8,8,3,Berhenti
9,59.4,11,0,Upgrade
13,49.5,11,1,Bertahan
23,45.2,10,1,Bertahan
16,17.0,10,2,Berhenti
11,77.8,4,0,Bertahan
18,34.9,6,1,Bertahan
7,55.7,9,1,Bertahan
19,15.9,9,1,Bertahan
17,41.2,10,1,Bertahan
12,50.8,7,1,Berhenti
9,51.5,7,2,Bertahan
8,48.1,11,1,Bertahan
18,54.9,12,1,Bertahan
23,22.4,7,2,Bertahan
10,48.9,5,1,Bertahan
18,47.3,6,0,Bertahan
1,49.6,12,0,Bertahan
10,46.4,8,1,Bertahan
14,19.5,9,0,Bertahan
8,18.6,13,1,Berhenti
8,5.0,11,0,Bertahan
10,61.4,5,2,Berhenti
17,61.6,6,2,Bertahan
13,61.9,10,0,Upgrade
1,51.1,10,0,Bertahan
1,5.0,10,3,Berhenti
10,24.5,13,0,Bertahan
18,48.4,7,0,Bertahan
1,47.7,10,2,Berhenti
11,40.5,11,0,Bertahan
11,52.4,5,0,Bertahan
24,45.2,8,1,Bertahan
12,47.4,9,0,Bertahan
17,32.2,5,1,Bertahan
15,64.6,9,3,Bertahan
1,36.4,4,0,Berhenti
20,18.4,11,0,Upgrade
16,29.6,5,0,Bertahan
18,38.0,6,2,Bertahan
30,64.9,16,0,Upgrade
1,44.2,7,0,Bertahan
27,41.3,10,0,Upgrade
12,20.0,6,0,Bertahan
17,60.7,5,2,Bertahan
14,32.0,4,0,Bertahan
12,43.0,8,2,Berhenti
11,74.6,6,2,Bertahan
17,55.2,7,1,Bertahan
4,12.4,8,0,Berhenti
20,9.6,10,0,Bertahan
12,43.7,8,0,Bertahan
7,20.7,8,1,Berhenti
11,58.0,10,2,Bertahan
23,45.8,14,0,Upgrade
11,48.3,9,1,Bertahan
17,30.9,11,1,Bertahan
9,79.8,6,1,Bertahan
20,101.9,6,3,Bertahan
19,39.4,14,1,Bertahan
27,52.1,10,1,Upgrade
13,46.9,7,1,Bertahan
19,39.8,14,2,Bertahan
15,28.4,10,2,Bertahan
24,23.3,8,0,Upgrade
9,22.3,9,5,Berhenti
20,53.1,9,1,Upgrade
13,34.6,4,2,Bertahan
14,5.0,4,2,Berhenti
15,53.9,8,0,Upgrade
16,44.2,10,0,Bertahan
14,71.9,11,0,Upgrade
16,52.5,10,4,Bertahan
26,15.4,10,3,Bertahan
21,5.0,7,0,Bertahan
21,30.6,6,2,Berhenti
11,32.5,5,1,Bertahan
8,63.9,8,0,Bertahan
21,44.8,6,1,Bertahan
21,67.7,4,0,Upgrade
25,18.5,11,1,Bertahan
10,64.3,8,2,Bertahan
13,59.4,7,1,Bertahan
3,5.0,10,1,Berhenti
12,71.5,12,1,Bertahan
21,46.9,12,0,Upgrade
11,52.8,9,2,Bertahan
19,27.7,6,2,Bertahan
13,70.5,6,1,Bertahan
17,21.3,3,0,Bertahan
6,61.6,4,1,Berhenti
15,61.4,10,2,Bertahan
1,25.5,16,1,Bertahan
13,84.7,5,0,Upgrade
3,49.6,6,1,Bertahan
23,58.1,9,0,Upgrade
20,14.5,6,3,Berhenti
18,87.4,4,2,Bertahan
25,20.5,7,0,Bertahan
8,65.5,8,2,Bertahan
27,25.1,13,1,Bertahan
21,32.6,7,0,Bertahan
13,60.8,8,2,Bertahan
22,65.6,7,2,Bertahan
7,19.6,5,1,Berhenti
9,66.8,6,0,Bertahan
10,65.9,8,3,Bertahan
11,26.2,6,0,Bertahan
7,77.0,9,1,Bertahan
23,15.9,7,1,Bertahan
13,32.5,9,1,Bertahan
17,54.6,16,2,Upgrade
11,27.9,10,2,Bertahan
2,50.3,11,3,Berhenti
16,49.8,2,1,Bertahan
1,41.3,6,0,Bertahan
14,61.6,8,0,Bertahan
5,40.4,6,0,Bertahan
28,49.6,10,1,Upgrade
21,67.9,8,0,Upgrade
15,60.8,7,1,Bertahan
23,60.7,3,0,Bertahan
9,22.0,5,0,Berhenti
18,55.5,13,1,Bertahan
16,27.4,4,0,Bertahan
16,19.4,11,2,Bertahan
23,43.6,12,0,Upgrade
20,26.9,14,1,Bertahan
17,60.8,13,4,Bertahan
3,61.3,11,1,Bertahan
8,6.9,4,1,Berhenti
14,28.4,6,2,Berhenti
15,15.8,10,0,Bertahan
7,35.7,11,1,Berhenti
30,54.1,4,1,Upgrade
25,40.2,4,0,Bertahan
19,33.2,5,2,Berhenti
15,71.0,7,1,Bertahan
13,5.0,7,1,Bertahan
8,69.7,8,2,Bertahan
15,34.1,6,1,Bertahan
16,43.4,9,1,Bertahan
6,34.5,10,2,Bertahan
17,75.9,6,3,Bertahan
13,20.4,14,0,Bertahan
1,45.2,8,0,Bertahan
8,55.5,6,3,Berhenti
12,12.8,6,3,Berhenti
28,26.6,9,0,Upgrade
18,42.0,12,1,Bertahan
5,27.3,12,0,Bertahan
18,28.7,7,2,Bertahan
4,38.0,4,0,Bertahan
22,58.0,8,3,Bertahan
11,38.1,9,2,Bertahan
14,66.6,8,0,Bertahan
24,25.0,11,1,Bertahan
5,20.0,7,1,Berhenti
5,83.5,16,0,Upgrade
10,31.8,8,1,Bertahan
22,18.8,5,1,Bertahan
4,10.2,9,1,Berhenti
1,66.5,11,1,Bertahan
11,38.2,10,2,Bertahan
18,39.9,9,2,Bertahan
23,41.8,6,1,Bertahan
11,65.3,8,2,Bertahan
12,41.4,11,0,Bertahan
23,91.9,6,0,Upgrade
1,47.7,9,1,Berhenti
12,66.2,6,0,Upgrade
16,61.1,6,4,Berhenti
18,44.3,10,0,Bertahan
11,33.3,8,0,Bertahan
15,51.6,6,1,Bertahan
1,55.2,6,2,Berhenti
10,33.5,8,1,Bertahan
18,48.3,5,0,Bertahan
8,69.7,11,2,Bertahan
15,86.4,11,1,Upgrade
18,62.1,3,2,Berhenti
12,82.3,6,2,Bertahan
16,32.4,8,0,Bertahan
8,59.0,6,3,Berhenti
13,71.8,13,0,Upgrade
19,27.1,7,1,Bertahan
16,35.3,5,0,Bertahan
10,79.8,10,0,Upgrade
16,25.5,14,3,Bertahan
20,18.2,5,1,Berhenti
1,75.6,2,0,Bertahan
23,68.9,6,0,Upgrade
12,53.6,6,0,Bertahan
17,44.1,9,0,Upgrade
23,36.2,12,1,Upgrade
5,50.6,11,1,Bertahan
10,76.6,10,1,Bertahan
12,49.8,6,3,Berhenti
9,88.3,12,1,Bertahan
27,27.0,8,3,Bertahan
9,44.6,8,2,Berhenti
11,37.5,10,2,Bertahan
16,23.3,8,1,Bertahan
6,41.9,6,0,Bertahan
12,53.3,6,0,Upgrade
17,55.5,7,0,Upgrade
12,88.4,4,1,Bertahan
14,54.3,4,0,Bertahan
11,68.0,12,0,Upgrade
4,46.3,9,1,Bertahan
17,78.6,11,0,Upgrade
27,93.0,9,2,Upgrade
15,55.6,7,1,Bertahan
16,25.1,6,0,Bertahan
19,34.0,9,2,Bertahan
6,50.6,7,0,Bertahan
26,54.1,5,1,Upgrade
16,59.0,7,0,Bertahan
26,54.2,9,0,Upgrade
9,45.1,7,1,Bertahan
27,32.3,4,0,Upgrade
20,53.0,5,0,Bertahan
18,82.1,11,2,Bertahan
16,65.4,4,0,Bertahan
13,55.7,6,2,Bertahan
23,65.6,6,1,Bertahan
15,37.6,5,2,Bertahan
1,34.8,9,2,Berhenti
7,30.0,8,0,Bertahan
13,42.5,8,0,Upgrade
17,36.6,4,4,Berhenti
14,69.2,4,0,Bertahan
23,35.5,10,1,Upgrade
1,28.9,4,1,Berhenti
16,83.9,6,0,Upgrade
2,36.0,8,1,Berhenti
20,48.1,10,1,Bertahan
14,54.0,12,1,Bertahan
17,22.3,6,3,Berhenti
8,69.7,6,2,Berhenti
23,57.7,7,2,Bertahan
22,76.2,10,1,Upgrade
19,31.4,9,1,Bertahan
14,47.0,6,1,Berhenti
19,45.8,14,0,Upgrade
10,50.3,11,0,Bertahan
20,15.9,9,1,Bertahan
26,47.2,7,0,Bertahan
22,16.5,7,0,Bertahan
9,52.2,6,0,Bertahan
17,5.0,16,0,Bertahan
5,8.0,7,3,Berhenti
19,61.4,12,1,Bertahan
18,34.1,7,1,Bertahan
1,25.2,10,1,Berhenti
6,70.4,4,0,Bertahan
13,51.6,10,1,Bertahan
12,62.4,7,1,Bertahan
6,41.7,4,1,Berhenti
17,98.6,7,1,Bertahan
16,32.9,9,2,Bertahan
13,79.9,7,1,Upgrade
9,43.8,11,0,Bertahan
22,11.9,7,1,Bertahan
26,54.7,6,0,Upgrade
11,51.3,12,0,Bertahan
10,24.0,7,0,Bertahan
18,26.6,8,2,Berhenti
12,44.5,7,2,Bertahan
14,52.0,8,0,Upgrade
20,5.0,10,1,Bertahan
1,66.1,6,1,Berhenti
24,35.1,9,3,Bertahan
15,18.4,2,4,Berhenti
12,63.8,8,2,Berhenti
14,44.5,5,0,Bertahan
14,69.3,12,1,Upgrade
2,53.8,7,1,Bertahan
25,45.0,8,1,Bertahan
15,41.9,9,0,Bertahan
18,54.7,10,2,Bertahan
21,36.7,7,0,Bertahan
7,27.9,7,2,Bertahan
18,57.2,11,3,Bertahan
13,42.1,12,0,Bertahan
20,45.7,10,2,Bertahan
1,66.8,8,0,Bertahan
14,42.7,13,0,Bertahan
10,45.3,3,2,Berhenti
18,33.0,10,0,Bertahan
18,53.6,6,1,Bertahan
10,52.0,9,0,Bertahan
10,63.0,3,2,Berhenti
14,33.4,8,3,Bertahan
8,35.8,8,1,Bertahan
20,60.8,10,2,Bertahan
12,50.0,4,2,Bertahan
1,26.9,3,1,Berhenti
12,71.1,4,1,Bertahan
7,11.0,10,0,Bertahan
3,60.7,4,0,Berhenti
6,19.7,6,0,Bertahan
15,82.7,6,0,Bertahan
24,14.1,6,0,Bertahan
17,68.0,12,1,Bertahan
10,43.4,7,0,Bertahan
18,37.7,9,1,Bertahan
11,48.7,7,1,Bertahan
10,57.6,3,0,Bertahan
6,26.9,9,0,Bertahan
2,28.7,4,1,Berhenti
12,58.0,6,1,Bertahan
16,10.9,6,2,Berhenti
14,33.3,11,1,Bertahan
12,105.8,3,0,Upgrade
8,25.6,10,1,Bertahan
19,68.0,12,0,Upgrade
5,33.3,7,1,Berhenti
20,55.2,11,0,Upgrade
7,58.1,8,2,Bertahan
9,67.6,11,1,Bertahan
4,41.0,6,0,Bertahan
11,84.8,8,0,Bertahan
21,33.2,10,1,Bertahan
18,49.7,8,1,Bertahan
21,49.9,8,1,Upgrade
18,22.6,4,1,Bertahan
7,39.3,5,0,Bertahan
12,48.2,6,0,Bertahan
9,36.4,15,0,Bertahan
24,93.8,8,0,Upgrade
6,28.2,7,2,Berhenti
21,68.6,5,0,Upgrade
21,62.1,10,0,Upgrade
27,44.7,9,3,Bertahan
12,27.7,11,1,Bertahan
19,29.6,6,0,Bertahan
30,34.6,7,0,Upgrade
10,9.3,7,0,Bertahan
4,24.9,9,0,Bertahan
1,15.4,4,1,Berhenti
19,71.9,8,0,Upgrade
1,57.4,13,1,Berhenti
12,60.7,10,2,Bertahan
18,56.8,1,0,Bertahan
16,48.3,6,0,Bertahan
17,74.2,10,0,Bertahan
16,32.8,4,0,Bertahan
23,47.1,11,2,Bertahan
8,59.9,11,4,Berhenti
10,18.6,11,4,Berhenti
9,106.9,9,1,Upgrade
20,45.6,10,0,Upgrade
21,47.8,9,0,Bertahan
18,70.1,17,1,Upgrade
23,63.3,9,1,Upgrade
6,45.8,13,3,Berhenti
26,47.6,7,2,Bertahan
25,14.9,10,0,Bertahan
20,33.9,10,0,Bertahan
27,55.3,10,0,Upgrade
3,53.9,4,0,Bertahan
11,69.4,4,1,Berhenti
9,42.6,5,1,Bertahan
20,17.3,5,0,Bertahan
7,66.1,5,1,Bertahan
20,73.7,6,2,Bertahan
24,63.0,6,1,Bertahan
19,41.7,13,1,Bertahan
16,65.9,7,1,Bertahan
8,113.6,11,2,Bertahan
9,47.3,9,3,Berhenti
23,18.8,9,2,Bertahan
20,33.3,3,3,Berhenti
14,57.5,12,1,Bertahan
12,12.9,4,0,Bertahan
1,48.4,10,0,Bertahan
7,52.6,3,1,Bertahan
28,75.7,6,0,Upgrade
6,71.2,6,0,Bertahan
16,62.3,6,0,Bertahan
22,5.0,5,0,Bertahan
6,63.4,3,1,Bertahan
16,59.1,11,1,Bertahan
21,50.1,8,0,Upgrade
15,10.4,10,0,Bertahan
30,29.5,5,0,Upgrade
3,21.7,9,1,Berhenti
22,5.0,14,2,Bertahan
13,44.9,8,0,Bertahan
20,29.0,10,2,Bertahan
18,97.5,6,0,Upgrade
9,41.6,16,2,Bertahan
16,70.9,10,0,Upgrade
1,13.6,10,1,Berhenti
19,34.4,9,0,Upgrade
17,46.9,8,0,Bertahan
19,26.8,9,2,Bertahan
22,36.6,10,2,Bertahan
17,40.6,7,1,Upgrade
16,40.3,6,0,Bertahan
8,82.1,4,0,Bertahan
10,52.6,10,1,Bertahan
23,54.6,6,2,Bertahan
25,55.8,4,0,Bertahan
13,57.3,13,1,Bertahan
15,43.3,5,1,Bertahan
8,38.6,5,4,Berhenti
23,48.3,7,0,Upgrade
19,68.1,8,1,Bertahan
28,67.5,5,0,Upgrade
8,40.2,9,2,Bertahan
12,60.4,12,1,Bertahan
16,41.1,9,3,Bertahan
19,45.7,6,0,Bertahan
13,35.5,6,2,Bertahan
8,41.4,9,4,Berhenti
21,71.8,8,2,Bertahan
20,46.8,9,2,Bertahan
8,47.7,11,1,Bertahan
24,16.1,8,0,Bertahan
23,38.8,6,0,Bertahan
15,40.2,5,1,Bertahan
15,28.4,8,1,Bertahan
18,45.4,10,1,Bertahan
8,36.4,8,2,Berhenti
15,46.6,4,1,Bertahan
1,47.4,6,1,Bertahan
21,25.9,11,1,Bertahan
4,37.0,9,1,Bertahan
25,46.5,9,0,Upgrade
12,68.7,7,1,Bertahan
13,50.1,6,2,Bertahan
10,31.8,9,2,Bertahan
12,53.0,10,3,Berhenti
24,79.2,7,1,Bertahan
1,63.3,5,2,Berhenti
23,56.0,6,1,Bertahan
17,59.5,8,0,Bertahan
6,73.8,8,2,Bertahan
7,66.5,8,0,Bertahan
26,56.3,4,3,Bertahan
8,66.4,8,0,Bertahan
6,23.4,9,0,Bertahan
22,15.0,11,1,Bertahan
17,48.1,4,1,Bertahan
8,46.4,6,1,Bertahan
16,34.1,9,1,Bertahan
7,61.5,9,1,Bertahan
22,7.7,13,3,Bertahan
22,34.3,7,1,Bertahan
18,35.3,11,1,Bertahan
17,12.3,9,1,Bertahan
27,74.9,5,0,Bertahan
14,17.8,6,0,Bertahan
6,33.2,9,2,Berhenti
18,63.2,6,1,Bertahan
29,57.9,17,0,Upgrade
7,22.8,6,1,Berhenti
12,58.6,10,0,Upgrade
17,50.8,9,0,Bertahan
14,91.7,7,0,Bertahan
8,53.1,6,0,Bertahan
22,42.2,12,2,Bertahan
30,27.9,7,0,Upgrade
16,30.1,4,0,Bertahan
8,28.5,16,1,Bertahan
4,72.4,8,1,Bertahan
16,45.4,7,1,Bertahan
22,56.3,5,1,Bertahan
18,75.3,7,2,Bertahan
14,5.0,13,0,Bertahan
10,70.6,11,1,Bertahan
7,46.1,11,0,Bertahan
20,53.7,10,2,Bertahan
21,28.4,7,1,Bertahan
4,29.9,5,1,Berhenti
26,54.8,8,2,Bertahan
19,92.7,10,0,Upgrade
24,65.1,7,1,Upgrade
5,70.3,8,0,Bertahan
5,41.2,9,0,Bertahan
13,33.0,3,0,Bertahan
18,29.4,14,1,Bertahan
27,35.2,9,2,Bertahan
19,5.0,8,1,Bertahan
13,30.5,4,1,Bertahan
7,33.8,11,0,Bertahan
23,41.5,6,1,Bertahan
8,47.6,9,3,Berhenti
26,52.2,12,1,Upgrade
13,44.7,6,0,Bertahan
26,33.4,7,2,Bertahan
19,5.7,9,0,Bertahan
14,33.5,9,0,Bertahan
11,25.6,12,1,Bertahan
12,54.3,12,0,Upgrade
17,63.2,8,0,Upgrade
15,63.8,8,0,Bertahan
10,60.1,4,1,Bertahan
13,42.3,13,0,Upgrade
15,34.6,13,2,Bertahan
1,30.1,7,2,Berhenti
18,14.9,11,1,Bertahan
8,64.8,8,0,Bertahan
6,41.5,8,1,Berhenti
3,20.1,7,1,Berhenti
2,28.5,5,2,Berhenti
5,27.7,8,0,Berhenti
10,45.9,7,0,Bertahan
28,66.3,6,1,Bertahan
11,38.0,10,0,Bertahan
16,5.0,5,1,Bertahan
17,41.2,6,1,Berhenti
15,41.9,6,0,Bertahan
14,40.5,12,1,Bertahan
6,32.5,12,1,Bertahan
25,49.3,11,2,Upgrade
27,46.3,5,0,Upgrade
3,44.5,4,0,Bertahan
7,53.3,12,0,Bertahan
13,36.4,9,0,Bertahan
8,35.3,3,1,Berhenti
18,72.6,8,0,Upgrade
9,56.2,6,1,Berhenti
30,61.5,8,1,Upgrade
23,69.5,8,0,Upgrade
16,55.5,7,0,Upgrade
22,63.6,7,0,Upgrade
22,13.4,5,0,Bertahan
11,49.1,12,1,Bertahan
9,41.3,4,0,Bertahan
15,78.6,9,1,Bertahan
21,63.6,6,2,Bertahan
15,32.4,11,0,Bertahan
3,52.5,5,4,Berhenti
9,48.4,11,1,Bertahan
14,54.1,7,1,Bertahan
